Job Code,Date Accessed,Keyword,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Qualifications
757695300,2024-12-08,Data Analyst,https://www.usajobs.gov/job/757695300,DST Data Engineer,Central Intelligence Agency,GS 8 - 15,No,No,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Excepted,None,No,Sensitive Compartmented Information,Yes,72030,170800,"Qualifications
Minimum Qualifications
Strong critical thinking and problem-solving skills
Experience Programming in Linux and/or Windows OS environments
Experience with Software Development using computer programing languages like Javascript and/or Python.
Ability to work independently and in groups within a team environment
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Without previous work experience, a 3.0 GPA on a 4-point scale is strongly desired
Experience in one or more of the following areas:
Data analytics
Econometrics, mathematical modeling, or geospatial modeling
Gaming and modeling
Internet/web technology
Mathematical analysis
Network security and engineering
Signal processing and analysis
Social network analysis
Statistical operations research
Survey research, design, and analysis
Telecommunications networks/voice data communications
Self-starter attitude with initiative
Creativity
Strong interpersonal and communications skills
Strong analytic and research skills
Demonstrated experience working with Agile software development. Desired familiarity collaborating with technical writers and technical program policy representatives.
Experience with database and search technologies.
Experience with software development technologies or code version management software.
Experience analyzing large streaming datasets"
821451800,2024-12-08,Data Analyst,https://www.usajobs.gov/job/821451800,Data Scientist (Hiring Bonus Eligible),Department of the Army,GG 7,No,"Yes—May be eligible for Situational Telework only, including emergency and OPM prescribed ""Unscheduled Telework"".",25% or less - Up to 25% Business Travel required.,Yes—Payment of moving expenses is authorized subject to the provisions of the Joint Travel Regulations.,Permanent,Full-time,Excepted,13,No,Sensitive Compartmented Information,Yes,55924,153354,"Qualifications
Who May Apply:
Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. SeeProof of Eligibilityfor an extensive list of document requirements for all employment authorities.


Current Army Cyber Excepted Service (CES) Employee
Current Department of Army Civilian Employees
Current Department of Defense (DOD) Civilian Employee (non-Army)
Current DoD Cyber Excepted Service (CES) Employee (non-Army)
Current Permanent DoD Civilian Employee (non-Army) Applying to Cyber Excepted Service Positions
Non-Department of Defense (DoD) Transfer Applying to Cyber Excepted Service Positions
United States Citizen Applying to a Cyber Excepted Service (CES) Position


Army CES positions apply Veteran's Preference to preference eligible candidates, as defined by Section 2108 of Title 5 U.S.C., in accordance with the procedures provided in DoD Instruction 1400.25, Volume 3005, ""CES Employment and Placement"". If you are a veteran claiming veterans' preference, as defined by Section 2108 of Title 5 U.S.C., you must submit documents verifying your eligibility with your application package.

In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts isin this document.

Basic Requirement for Data Scientist:

A. Degree:Bachelor's degree (or higher degree) in in mathematics, statistics, computer science, data science or field directly related to the position. Degree must be completed by December 2024.

OR

B. Combination of Education and Experience: Courses equivalent to a major field of study (30 semester hours) as shown in A above, plus appropriate experience or additional education.

In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below:

Specialized Experience: One year of specialized experience which includes assisting in developing data set processes; or, assisting in building data visualization products; or, assisting in developing mathematical and/or statistical models. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05).

OR

Education: One full year of graduate level education (or will have completed one full year by December 2024) in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: mathematics, statistics, computer science, or data science.

OR

Superior Academic Achievement:Successful completion of all the requirements for a bachelor's degree (or will complete by December 2024) with Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on: (1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR
(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achshonor.org/).

NOTE: Grade point averages will be rounded to one decimal point. For example, 2.95 will round to 3.0, and 2.94 will round to 2.9.

NOTE: If more than 10 percent of your undergraduate course work (credit hours) was taken on a pass/fail or similar basis, your S.A.A. claim must be based on class standing or membership in an honor society and you must provide evidence of your class standing or honor society membership with your application.

OR

Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages.
"
821454200,2024-12-08,Data Analyst,https://www.usajobs.gov/job/821454200,INFORMATION TECHNOLOGY SPECIALIST (Senior IT Data Specialist),Department of the Treasury,GS 14,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,14,No,Not Required,No,122198,191900,"Qualifications
You must meet the following requirements by the closing date of this announcement.

Specialized Experience: For the GS-14: You must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-13 grade level in the Federal service. Specialized experience for this position is defined as:
- Conducting information technology tasks using SAS templates, maps, writing SAS applications IBM mainframe programming using JCL, DB2, Assembler, or technology tasks using SPF.


In addition to meeting specialized experience, applicants must also show proficiency in 1) attention to detail, 2) customer service, 3) oral communication, and 4) problem solving.


Time-in-Grade: In addition to the above requirements, you must meet the following time-in-grade requirement, if applicable:
For the GS-14, you must have been at the GS-13level for 52 weeks.

Time After Competitive Appointment: Candidates who are current Federal employees serving on a non-temporary competitive appointment must have served at least three months in that appointment."
822087600,2024-12-08,Data Analyst,https://www.usajobs.gov/job/822087600,LOAN ANALYST,Department of Agriculture,GS 5 - 9,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,9,No,Not Required,No,39576,77955,"Qualifications
For the GS-5 level:
Completed a 4-year course of study leading to a bachelor's degree, or I possess a bachelor's degree in any field of study; OR
Three years of general work experience that is progressively responsible experience (one year of which is equivalent to at least a GS-4) that demonstrates my ability to analyze problems to identify significant factors, gather pertinent data, and recognize solutions; to plan and organize my work; and to communicate effectively both orally and in writing; OR
A combination of education and experience as listed above.
For the GS-7 level:
Superior Academic Achievement: A bachelor's degree in any field of study from an accredited college or university with either: 1) a grade point average (GPA) of 3.0 based on a 4.0 scale; 2) a 3.5 GPA based on a 4.0 scale for required courses completed in a major field of study during the last two years of undergraduate study; 3) class standing of upper third of the graduating class in the college, university, or major subdivision of the college; 4) membership in a National Scholastic Honor Society certified by the Association of College Honor Societies, excluding freshman honor societies; OR
One year of specialized experience equivalent in difficulty and responsibility to the GS-5 level in the Federal service or private sector. Specialized experience is experience that demonstrates knowledge of basic principles, concepts, and methods of fact-finding, analysis, and problem solving techniques as they apply to investigation, analysis and evaluation of financial factors and credit risks in granting and servicing of agricultural loans. In addition, I have knowledge of and skill in applying analytical and evaluative techniques to assist in assessing the effectiveness and efficiency of farm loan program operations to make recommendations for improvements; OR
One year of graduate education from an accredited college or university with a major in finance, business administration, economics, accounting, engineering, mathematics, banking and credit, law, statistics, or other fields related to the position such as agriculture, agricultural economics, farm, livestock or ranch management, or rural sociology; OR
A combination of graduate education and experience as listed above.
For the GS-9 level:
Two full academic years of progressively higher level graduate education or master's, or equivalent graduate degree (LLB, JD, LLM, Ph.D., etc.), from an accredited college or university with a major in finance, business administration, economics, accounting, engineering, mathematics, banking and credit, law, statistics, or another field related to the position such as agriculture, agricultural economics, farm, livestock, farm management, ranch management, rural sociology, dairy science, domestic agricultural development or agronomy; OR
One full-time year (12 months) of specialized work experience equivalent in difficulty and responsibility to the GS-7 level in the Federal service. Experience that demonstrates knowledge of credit principles and practices to assess the fundamental soundness of loans by independently examining applications, supporting documents, and credit reports, and maintaining servicing activities on agricultural loans. In addition, experience applying analytical and evaluative techniques to assist in assessing the effectiveness and efficiency of farm loan program operations to make recommendations for improvements; OR
A combination of education and experience as listed above.
Applicants must meet all qualifications and eligibility requirements by the closing date of the announcement including specialized experience and/or education, as defined.

For more information on the qualifications for this position, click here:http://www.opm.gov/qualifications/Standards/group-stds/gs-admin.asp.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience."
820965200,2024-12-08,Data Analyst,https://www.usajobs.gov/job/820965200,Budget Analyst,Department of Housing and Urban Development,GS 14,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,14,No,Not Required,No,139395,181216,"Qualifications

You must meet the following requirements within 30 days of the closing date of this announcement.


Specialized Experience:For theGS-14grade level, you must have one year (52 full weeks) of specialized experience at a level of difficulty and responsibility equivalent to theGS-13grade level in the Federal service.
Specialized Experiencefor this position includes:
Performing review and analysis of financial reports, budget requests, or other budget-related information; AND
Writing and editing documents for public presentation, including budget justifications, or other published documents; AND
Working closely with program administrators and financial managers to estimate funding requirements; AND
Managing projects involving the collection and presentation of information from multiple sources.

Experience may have been gained in either the public, private sector orvolunteer service.One year of experience refers to full-time work; part-time work is considered on a prorated basis. To ensure full credit for your work experience, please indicate dates of employment by month/day/year, and indicate number of hours worked per week on your resume.

Time-in-Grade:In addition to the above requirements, you must meet the followingtime-in-grade requirement, if applicable:
For theGS-14you must have been at theGS-13level for 52 weeks.

Time After Competitive Appointment:Candidates who are current Federal employees serving on a non-temporary competitive appointment must have served at least three months in that appointment."
821750300,2024-12-08,Data Analyst,https://www.usajobs.gov/job/821750300,BUDGET ANALYST,Department of the Air Force,GS 9,No,No,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,None,No,Secret,No,60597,78776,"Qualifications
In order to qualify, you must meet the specialized experience requirements described in the Office of Personnel Management (OPM) Qualification Standards for General Schedule Positions, Administrative and Management Positions.

SPECIALIZED EXPERIENCE: Applicants must have at least one (1) year of specialized experience at the next lower grade GS-07, or equivalent in other pay systems. Examples of specialized experience includes knowledge of commonly used budgetary methods, practices, procedures, regulations, precedents, policies, and other AF, MAJCOM, and installation guides which apply to assigned budget accounts (e.g., organizational components, programs, services, object classes, and/or line items) to perform and advise on budget administration tasks and to identify and refer those reprogramming actions which require prior approval to officials at higher echelons.

OR EDUCATION: Master's or equivalent graduate degree or 2 full years of progressively higher-level graduate education leading to such a degree or LL.B. or J.D., if related. NOTE: You must submit a copy of your transcripts.

OR COMBINATION OF EXPERIENCE AND EDUCATION: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. NOTE: You must submit a copy of your transcripts.

FEDERAL TIME-IN-GRADE (TIG) REQUIREMENT FOR GENERAL SCHEDULE (GS) POSITIONS: Merit promotion applicants must meet applicable time-in­-grade requirements to be considered eligible. One year at the GS-07 level is required to meet the time-in-grade requirements for the GS-09 level. TIG applies if you are in a current GS position or held a GS position within the previous 52 weeks. NOTE: Applicants applying as VEOA candidates who are current GS civil service employees or are prior GS civil service employees within the past 52 weeks must also meet time-in-grade requirements.

KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas:

1. Knowledge of commonly used budgetary methods, practices, procedures, regulations, policies, and processes to formulate, justify, and execute assigned budget in support of the mission, structure, goals, work processes, and programs of assigned activities/organizations.

2. Knowledge of automated data processing software programs and capabilities used to accomplish budget/funding tasks.

3. Skill in gathering, assembling, and analyzing source of factual information, such as that found in accounting reports, payroll records, work reports, or inventory and supply data.

4. Skill in preparing written forms, schedules, and reports related to the obligation and expenditures of funds.

5. Ability to make oral presentations on the budget, and conduct budget-related training to a variety of audiences.

PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week.

VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience."
822261500,2024-12-08,Data Analyst,https://www.usajobs.gov/job/822261500,Budget Analyst,Department of Housing and Urban Development,GS 11 - 13,No,Yes—as determined by the agency policy.,Not required,No,Permanent,Full-time,Competitive,13,No,Not Required,No,82764,153354,"Qualifications

You must meet the following requirements within 30 days of the closing date of this announcement.

Specialized Experience:

For theGS-13grade level, you must have one year (52 full weeks) of specialized experience at a level of difficulty and responsibility equivalent to theGS-12grade level in the Federal service.Specialized Experience for this position includes:
Performing budget formulation and budget execution functions.
Examples of such experience could include:
Identifying and analyzing changes in budgetary and financial policies, regulations, constraints, objectives, and available funds that affect the accomplishment of program objectives; OR
Analyzing budget and financial program data to develop annual and multi-year budget estimates for assigned programs and activities; OR
Conducting research, identifying, and analyzing trends in the use of funds, and recommending adjustments in program spending that require the rescheduling of program workloads; OR
Assisting program managers and staff officials in interpreting the impact of, and planning for, multi-year financial/budgetary and program changes.
For theGS-12grade level, you must have one year (52 full weeks) of specialized experience at a level of difficulty and responsibility equivalent to theGS-11grade level in the Federal service.Specialized Experience for this position includes:
Performing budget formulation and presenting budget justifications and findings to senior management.
Examples of such experience could include:
Analyzing changes in budgetary and financial policies, regulations, constraints, objectives, and available funds that affect the accomplishment of program objectives; OR
Assisting with analyzing budget and financial program data to develop annual and multi-year budget estimates for assigned programs and activities; OR
Assisting in research, identifying, and analyzing trends in the use of funds, and recommending adjustments in program spending that require the rescheduling of program workloads.
For theGS-11grade level, you must have one year (52 full weeks) of specialized experience at a level of difficulty and responsibility equivalent to theGS-09grade level in the Federal service.Specialized Experience for this position includes:
Performing work and advising on budget administration in order to apply budget-related laws, regulations, policies, precedents, methods, and techniques.
Examples of such experience could include:
Analyzing budget and financial program data to assist in developing budget estimates for assigned activities; OR
Working in a team to analyze changes in budgetary and financial policies and regulations that affect the accomplishment of program objectives; OR
Monitoring budget execution and providing status updates to management.
OR Education:You may substitute education for general or specialized experience as follows: Ph.D. or equivalent doctoral degree OR 3 full years of progressively higher level graduate education leading to such a degree OR LL.M., if related.

OR Combination:You may qualify by a combination of experience and education. To combine education and experience, the total percentage of experience at the required grade level compared to the specialized experience requirement, as well as the percentage of completed education compared to the education requirement must equal at least 100 percent.

Experience may have been gained in either the public, private sector orvolunteer service.One year of experience refers to full-time work; part-time work is considered on a prorated basis. To ensure full credit for your work experience, please indicate dates of employment by month/day/year, and indicate number of hours worked per week on your resume.

Time-in-Grade:In addition to the above requirements, you must meet the followingtime-in-grade requirement, if applicable:
For theGS-13you must have been at theGS-12level for 52 weeks.
For theGS-12you must have been at theGS-11level for 52 weeks.
For theGS-11you must have been at theGS-09level for 52 weeks.

Time After Competitive Appointment:Candidates who are current Federal employees serving on a non-temporary competitive appointment must have served at least three months in that appointment."
770831000,2024-12-08,Data Analyst,https://www.usajobs.gov/job/770831000,Program Analyst,Department of the Army,GS 5 - 9,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,9,No,Not Required,No,39576,87024,"Qualifications
Period of Eligibility: Your application will remain active for 90 days from the date it is received. Unless deactivated due to selection or lost consideration, your application will expire at the end of the 90 day period. Once expired, you must submit a new application package to receive further consideration.

Who May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. SeeProof of Eligibilityfor an extensive list of document requirements for all employment authorities.


Current Department of Army Civilian Employees
Current Department of Defense (DOD) Civilian Employee (non-Army)
Domestic Defense Industrial Base/Major Range and Test Facilities Base Civilian Personnel Workforce
Interagency Career Transition Assistance Plan
Land Management Workforce Flexibility Act
Military Spouses, under Executive Order (E.O.) 13473
Non-Appropriated Fund Instrumentality (NAFI)
Non-Department of Defense (DoD) Transfer
Office of Personnel Management (OPM) Interchange Agreement Eligible
People with Disabilities, Schedule A
Postal Service/Peace Corps and Other Unique Authorities
Priority Placement Program, DoD Military Reserve (MR) and National Guard (NG) Technician Eligible
Priority Placement Program, DoD Military Spouse Preference (MSP) Eligible
Priority Placement Program, DoD MR and NG Preference Eligible Tech Receiving Disability Retirement
Priority Placement Program, DoD Retained Grade Preference Eligible
Reinstatement
Veterans Employment Opportunity Act (VEOA) of 1998


For GS-05:Three years of progressively responsible experience, 1 year of which was equivalent to at least the GS-04 grade level, which includes using automated software systems to prepare reports, briefings, etc.; assisting in the preparation and briefing of materials of a fiscal and/or administrative nature. This definition of general experience is typical of work performed at the next lower grade/level position in the federal service (GS-04).
OR
Four-year course of study leading to a bachelor's degree.
OR
A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 36. Then divide your total number of completed undergraduate semester hours (or equivalent) by 120. Add the two percentages.

For GS-07:One year of specialized experience which includes retrieving and gathering data; compiling data findings into graphical representations or reports; communicating with internal groups to resolve issues; and/or assisting with the evaluation of project or programmatic performance with respect to scope, schedule or budget. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05).
OR
One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Business or Finance.
OR
Superior Academic Achievement: Successful completion of all the requirements for a bachelor's degree with Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on:
(1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses;
OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/).
OR
A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages.

For GS-09:One year of specialized experience which includes assisting with the development and/or execution of project or programmatic budgets; supporting delivery of projects and/or programs by reviewing, monitoring, and/or evaluating performance with respect to scope, schedule, and budget to include but not limited to accounting for obligations and expenditures; inputting, gathering, and/or retrieving data in order to support analysis and upward reporting. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07).
OR
A Master's or equivalent graduate degree or 2 full years of progressively higher-level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Business or Finance.
OR
A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages.

In order to qualify, you must meet the education and/or requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts isin this document.


You will be evaluated on the basis of your level of competency in the following areas:

Budget Administration
Computer Skills
Financial Management
Oral Communication


Time in Grade Requirement: Applicants who have held a General Schedule (GS) position within the last 52 weeks must have 52 weeks of Federal service at the next lower grade or equivalent.

- For GS-05 - Applicants must have 52 weeks of Federal service at the next lower grade or equivalent (GS-04).
- For GS-07 - Applicants must have 52 weeks of Federal service at the next lower grade or equivalent (GS-05).
- For GS-09 - Applicants must have 52 weeks of Federal service at the next lower grade or equivalent (GS-07)."
820253100,2024-12-08,Data Analyst,https://www.usajobs.gov/job/820253100,PROGRAM ANALYST,Department of the Navy,GS 12,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management..",Not required,No,Permanent,Full-time,Competitive,None,No,Secret,No,90662,117856,"Qualifications
Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-09 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: 1) Conducting cost benefits analysis to interpret data for budget.2) Reviewing project completion costs to manage budget creation and/or execution while utilizing financial management software.3) Assisting with planning long-term fiscal strategies to advise on budget policies.

Additional qualification information can be found from the following Office of Personnel Management web site: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=List-by-Occupational-Series

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
821133700,2024-12-08,Data Analyst,https://www.usajobs.gov/job/821133700,PROGRAM ANALYST,Department of the Navy,GS 11 - 12,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,12,No,Secret,No,75640,117856,"Qualifications
FOR GS-12: Your resume must demonstrate at least one year of specialized experience at or equivalent to the (GS-11) grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: utilizing qualitative and quantitative analytical techniques to identify and discuss issues and concerns associated with lifting and handling programs, gather information, and develop and recommend alternate guidelines and procedures to increase organizational effectiveness and efficiency.

FOR GS-11: Your resume must demonstrate at least one year of specialized experience at or equivalent to the (GS-09) grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: assisting higher level analyst in conducting qualitative and quantitative analysis identifying data anomalies and problems to develop and recommend alternatives to increase organizational effectiveness and efficiency.

Additional qualification information can be found from the following Office of Personnel Management web site: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=List-by-Occupational-Series

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
