Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Keyword
642735900,2024-12-08,https://www.usajobs.gov/job/642735900,INTERDISCIPLINARY COMMUNITY PLANNER/CIVIL ENGINEER/ARCHITECT,Department of the Navy,GS 13,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,None,No,Secret,No,120246,156323,Data Engineer
647249800,2024-12-08,https://www.usajobs.gov/job/647249800,Public Notice for Physical Scientist (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Scientist
669932000,2024-12-08,https://www.usajobs.gov/job/669932000,FIRE PROTECTION ENGINEER,Department of the Navy,GS 11 - 12,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Not required,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,12,No,Secret,No,72553,114634,Data Engineer
673224000,2024-12-08,https://www.usajobs.gov/job/673224000,SUPERVISORY ENGINEER or ARCHITECT,Department of the Navy,GS 13,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,None,Yes,Secret,No,120246,156323,Data Engineer
675452900,2024-12-08,https://www.usajobs.gov/job/675452900,ENGINEERING TECHNICIAN,Department of the Navy,GS 11,No,No,Not required,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,11,No,Secret,No,82764,107590,Data Engineer
684260400,2024-12-08,https://www.usajobs.gov/job/684260400,Public Notice for General Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
684260900,2024-12-08,https://www.usajobs.gov/job/684260900,Public Notice for Mechanical Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
684261400,2024-12-08,https://www.usajobs.gov/job/684261400,Public Notice for Computer Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
684261500,2024-12-08,https://www.usajobs.gov/job/684261500,Public Notice for Electronics Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
685569800,2024-12-08,https://www.usajobs.gov/job/685569800,Public Notice for Civil Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
686668000,2024-12-08,https://www.usajobs.gov/job/686668000,Public Notice for Safety Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
686668200,2024-12-08,https://www.usajobs.gov/job/686668200,Public Notice for Fire Protection Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
686668600,2024-12-08,https://www.usajobs.gov/job/686668600,Public Notice for Electrical Engineer (Direct Hire),Department of Transportation,FV G - K,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G - K,Permanent,Full-time,Excepted,NA,No,Other,No,47813,155403,Data Engineer
