Job Code,Date Accessed,Keyword,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Qualifications
818787600,2024-12-08,Data Scientist,https://www.usajobs.gov/job/818787600,Data Analyst,Department of Homeland Security,GS 12 - 14,Yes,"Not applicable, this is a remote position.",Not required,No,Detail,Full-time,Competitive,None,No,Not Required,No,74441,135987,"Qualifications
Qualifications required:
Apply data management, cleaning, exploration, and other statistical techniques to analyze and interpret complex datasets of training and HR data.
Understand data manipulation techniques from various sources and data storage systems.
Perform analysis using data tools such as (Excel,R, Python,SAS), visualization (Tableau, Power BI, Power Point Presentations).
Streamline and automate processes as needed.
Creates and presents clear and impactful visualizations of data insights to diverse audiences using visualization tools, reports, presentations, and/or infographics.
Work with SME to understand data and analytical challenges and needs.
Other duties as assigned.
Please read the following important information to ensure we have everything we need to consider your application:
It is your responsibility to ensure that you submit appropriate documentation prior to the closing date. Your resume serves as the basis for qualification determinations and must highlight your most relevant and significant experience as it relates to this Joint Duty assignment opportunity announcement.

Be clear and specific when describing your work history since human resources cannot make assumptions regarding your experience. Your application will be rated based on your resume.

Please ensure EACH work history includes ALL of the following information:
Job Title (Include series and grade of Federal Job)
Duties (Be specific in describing your duties)
Name of Federal agency
Supervisor name, email, and phone number
Start and end dates including month and year (e.g. June 2007 to April 2008)"
822223800,2024-12-08,Data Scientist,https://www.usajobs.gov/job/822223800,IT SPECIALIST (DATAMGT/SYSADMIN),Department of the Navy,GS 9,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,None,No,Secret,No,66732,86750,"Qualifications
Your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-07 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: Knowledge of various systems to be able to manage and analyze the methods, procedures, requirements, and operations of software applications.

Additional qualification information can be found from the following Office of Personnel Management website: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
782586500,2024-12-08,Data Scientist,https://www.usajobs.gov/job/782586500,ENGINEER/SCIENTIST,Department of the Navy,ND 4,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,4,No,Secret,No,82764,153354,"Qualifications
Your resume must also demonstrate at least one year of specialized experience at or equivalent to the ND-03 pay band (GS-9/11 equivalency) in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: As a professional Engineer or Scientist conducting research and development on meteorological effects of electromagnetic wave propagation to provide recommendations or coordinate findings for Navy radar and communications systems.

Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=Occupational-Series

All Professional Engineering Positions, 08XX
General Physical Science Series, 1301
Operations Research Series, 1515
Mathematics Series, 1520
Computer Science Series, 1550

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
820712000,2024-12-08,Data Scientist,https://www.usajobs.gov/job/820712000,Physical Scientist,Department of the Interior,GS 9,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel up to 25% of the time.,No,Permanent,Full-time,Competitive,13,No,Not Required,No,59966,77955,"Qualifications
Minimum Qualification Requirements:
To qualify for this position you must meet the (1) Basic Educational Requirements AND/OR (2) Specialized Experience for the series to which you are applying.

(1) Basic Educational Requirements:
In addition to the specialized experience requirements for this position, applicants must meet the Education Requirements described below:

A. Degree:physical science, engineering, or mathematics that included 24 semester hours in physical science and/or related engineering science such as mechanics, dynamics, properties of materials, and electronics.

OR

B. Combination of education and experience--education equivalent to one of the majors shown in A above that included at least 24 semester hours in physical science and/ or related engineering science, plus appropriate experience or additional education.

AND

(2) Specialized Experience
To qualify for the GS-09, you must possess at least one full year of specialized experience equivalent to at least the GS-07 grade level in the Federal service, or comparable experience not gained through Federal service. Specialized experience is experience that equipped the applicant with the particular knowledge, skills, and abilities to perform successfully the duties of the position, and that is typically in or related to the work of the position to be filled. Specialized experience is defined as demonstrated experience:

1) Performing a variety of duties such as observations, computations, compilations and analyses in order to assist higher-level scientists in carrying out physical science assignments;
2) Applying basic physical science principles and standard operating procedures; AND
3) Preparing technical reports with recommendations.
Must meet all.

OR

B. Education: 2 years of progressively higher level graduate education leading to a master's degree or master's or equivalent graduate degree.

OR

C. Combination of Education and Experience: A qualifying combination of graduate level education and specialized experience that meets 100% of the qualification requirements for this position.

Additional information on the qualification requirements is outlined in the OPM Qualification Standards Handbook of General Schedule Positions and is available at OPM's website: https://www.opm.gov/qualifications/standards/indexes/num-ndx.asp

All qualification requirements must be met by the closing date of this announcement."
821630600,2024-12-08,Data Scientist,https://www.usajobs.gov/job/821630600,ENGINEERING DATA MANAGEMENT SPECIALIST,Department of the Navy,DS 2 - 3,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,4,No,Secret,No,46020,99821,"Qualifications
DS-03:
Your resume must demonstrate at least one year of specialized experience at or equivalent to the DS-02 pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate some or all of the following: 1) Assisting in developing, documenting, and implementing processes; 2) Assisting in evaluating and reporting on contractor configuration and data management systems; 3) Working knowledge of configuration management processes, procedures, products, and tools; 4) Using software programs for managing technical data products and maintaining accurate records.

DS-02:
Your resume must demonstrate at least three years of general experience that includes one year of experience equivalent to the DS-01 pay band in the federal service or equivalent experience in the private or public sector. Experience must demonstrate some or all of the following: 1) Analyzing problems to identify significant factors, gathering pertinent data, and recognizing solutions; 2) Collecting and organizing data used in project management efforts; 3) Communicating professionally and promptly; 4) Using Microsoft Office applications such as Outlook, Word, Excel, PowerPoint.

Additional qualification information can be found from the following Office of Personnel Management web site: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=List-by-Occupational-Series

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
822189800,2024-12-08,Data Scientist,https://www.usajobs.gov/job/822189800,Supervisory Life Scientist/Environmental Engineer/Physical Scientist,Environmental Protection Agency,GS 15,No,"Yes—NOTE: If you are an EPA employee who currently works at a remote work location (i.e., full-time telework), your approval for remote work does not transfer to this position.",25% or less - You may be required to travel for this position.,No,Permanent,Full-time,Competitive,15,Yes,Not Required,No,151894,191900,"Qualifications

NOTE: You must meet qualification requirements, including any requirements described in the Education section, by the closing date of this announcement.

In addition to the basic entry education requirements, you must have specialized experience and/or directly related education as described below:

To qualify for the GS-15 level, you must have 1 year of full-time* specialized experience equivalent to at least the GS-14 level defined as providing leadership, oversight, and/or technical expertise for a scientific project or program in the areas of Clean Air Act programs, Clean Water Act programs, and/or other environmental programs associated with the Resource Conservation and Recovery Act (RCRA) or Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA); coaching, mentoring or leading others; and establishing and monitoring performance measures to assess the effectiveness, efficiency, and progress of individual(s) and/or team.

Your answers to the online assessment will be used to evaluate your competencies in the following areas: 

Knowledge of environmental regulations, policies, and laws related to CERCLA.
Ability to research, interpret, and apply environmental policies and regulations.
Ability to plan, organize, and direct the functions of subordinate organizational units.
Ability to mentor, motivate, and appraise staff.
Skill in oral communication.
Skill in written communication.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

*If you have part-time work experience, read this: EPA Announcement Policies and Procedures."
793892900,2024-12-08,Data Scientist,https://www.usajobs.gov/job/793892900,Clinical Laboratory Scientist,Department of Health and Human Services,GS 7 - 11,No,No,Not required,No,Permanent,Full-time,Competitive,11,No,Other,No,70923,136446,"Qualifications
To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience.You must clearly identify the duties and responsibilities in each position held and the total number of hours per week.

BASIC REQUIREMENT(S):
Individual Occupational Requirements
Note: Employees currently assigned to positions in this occupational series as of September 2017 will be considered to have met the basic requirements for the position occupied.
Basic Requirements
Education

A Bachelor's or graduate/higher level degree from a regionally accredited college/university including courses in biological science, chemistry and mathematics, AND successful completion of a Medical Laboratory Scientist/Clinical Laboratory Scientist program accredited by the National Accrediting Agency for Clinical Laboratory Sciences (NAACLS) or an accrediting body recognized by the U.S. Department of Education(external link) at the time the degree was obtained.

OR

A full 4-year course of study that included 12 months in a college or hospital-based medical technology program or medical technology school approved by a recognized accrediting organization. The professional medical technology curriculum may have consisted of a 1-year post- bachelor's certificate program or the last 1 or 2 years of a 4-year program of study culminating in a bachelor's in medical technology.

OR

A Bachelor's or graduate/higher level degree from an accredited college/university, including 16 semester hours (24 quarter hours) of biological science (with one semester in microbiology), 16 semester hours (24 quarter hours) of chemistry (with one semester in organic or biochemistry), one semester (one quarter) of mathematics, AND five years of full time acceptable clinical laboratory experience in Blood Banking, Chemistry, Hematology, microbiology, Immunology and Urinalysis/Body Fluids. This combination of education and experience must have provided knowledge of the theories, principles, and practices of medical technology equivalent to that provided by the full 4-year course of study described in A or B above. All science and mathematics courses must have been acceptable for credit toward meeting the requirements for a science major at an accredited college or university. Acceptable experience is responsible professional or technician experience in a hospital laboratory, health agency, industrial medical laboratory, or pharmaceutical house; or teaching, test development, or medical research program experience that provided an understanding of the methods and techniques applied in performing professional clinical laboratory work. Certification/licensure as a medical technologist (generalist) obtained through written examination by a nationally recognized credentialing agency or State licensing body is a good indication that the quality of experience is acceptable.

Evaluation of Education and Experience: The major areas of clinical laboratory science are microbiology, clinical chemistry, hematology, and immunohematology (blood banking). Qualifying course work in these areas includes bacteriology, mycology, mycobacteriology, tissue culture, virology, parasitology, endocrinology, enzymology, toxicology, urinalysis, coagulation, hemostasis, cell morphology, immunology, serology, immunoserology, immuno-deficiency, hemolysis, histocompatibility, cytotechnology, and similar disciplines or areas of laboratory practice.

Related fields include physiology, anatomy, molecular biology, cell biology, embryology, pathology, genetics, pharmacology, histology, cytology, nuclear medicine, epidemiology, biostatistics, infection control, physics, statistics, and similar areas of science where the work is directly related to the position to be filled

For positions GS-7 through GS-15 (or equivalent), experience or graduate education must have been in (1) the general field of medical technology; (2) one of the disciplines or specialized areas of medical technology; or (3) a field directly related and applicable to medical technology or the position to be filled.

Clinical laboratory intern (student medical technologist) experience in an education program accredited by the Commission on Accreditation of Allied Health Education Programs(external link) (CAAHEP) education program may be credited on a month-for-month basis toward meeting the GS-7 specialized experience requirement.

Note: A typical program comprises 12 consecutive months of professional study, including didactic and practical instruction. Approximately 6 to 7 months are devoted to lectures, laboratory study, demonstrations, and seminars covering theory and technique in clinical laboratory science. The other 5 to 6 months are devoted to clinical laboratory rotations. It is the latter, i.e., the period(s) of supervised work experience in a service laboratory that may be credited as work study experience.

In addition to the Basic Requirements, you must also meet the Minimum Qualifications stated below.

MINIMUM QUALIFICATIONS:
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks:
GS-11:Monitor routine tests, perform specialized tests and/or non-routine procedures; identify and resolve inconsistent test results; perform complex and unusual tests in areas of microbiology AST, polymerase chain reaction (PCR), whole blood cellular component and blood bank; report test result and consult with physician; develop backup analysis procedures during instrument malfunction with input from medical staff; collect data from lab testing for quality improvement evaluation.
OR3-years of progressively higher level graduate education leading to a Ph.D. degree or equivalent doctoral degree.
ORcombination of education and specialized experience as defined in the vacancy announcement that when combined.

GS-09:Perform procedures of a routine and complex nature in all clinical laboratory sections; standardize and/or calibrate section instruments; prepare reagents and controls; maintain quality control; perform analysis which is reviewed by senior staff; perform electronic standardization procedures for laboratory instrumentation function.
OR2-years of progressively higher level graduate education leading to a master's degree or master's or equivalent graduate degree
ORcombination of education and specialized that when combined, fully meet the minimum qualifications for this position.

GS-07:Assist senior technologist in preparing reagents; assist with performance of routine laboratory tests; follow procedures to ensure quality control; and use basic laboratory equipment and instruments
OR1-year of graduate level education
ORcombination of education and specialized experience that when combined; fully meet the minimum qualifications for this position

Time In Grade
Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP).

You must meet all qualification requirements within 30 days of the closing date of the announcement."
819121300,2024-12-08,Data Scientist,https://www.usajobs.gov/job/819121300,Health Insurance Specialist (Data Analysis and Studies),Department of Health and Human Services,GS 11,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel up to 5% for this position.,No,Permanent,Full-time,Competitive,12,No,Not Required,No,82764,107590,"Qualifications
ALL QUALIFICATION REQUIREMENTS MUST BE MET WITHIN 30 DAYS OF THE CLOSING DATE OF THIS ANNOUNCEMENT.

Your resume must include detailed information as it relates to the responsibilities and specialized experience for this position. Evidence of copying and pasting directly from the vacancy announcement without clearly documenting supplemental information to describe your experience will result in an ineligible rating. This will prevent you from receiving further consideration.

In order to qualify for the GS-11, you must meet the following: You must demonstrate in your resume at least one year (52 weeks) of qualifying specialized experience equivalent to the GS-09 grade level in the Federal government, obtained in either the private or public sector), to include:

(1) Conducting data studies to identify trends in health insurance program or healthcare administration; and
(2) Conducting data studies related to a specific subject; and
(3) Utilizing statistical software such as but not limited to SAS, R or Python to prepare summary reports based on analysis that provide metrics for decision makers.

- OR -

Substitution of Education for Experience: You may substitute education for specialized experience at the GS-11 level by possessing a Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to such a degree or equivalent doctoral degree or LL.M., if related to the position being filled.

- OR -

Combination of Experience and Education: Only graduate education in excess of the amount required for the GS-09 grade level may be used to qualify applicants for positions at the grade GS-11. Therefore, only education in excess of a master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree, may be used to combine education and experience.

TRANSCRIPTS are required to verify satisfactory completion of the educational requirement related to substitution of education for experience and combination of experience and education. Please see ""Required Documents"" section below for what documentation is required at the time of application.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

Time-in-Grade: To be eligible, current or former Federal employees and current or former Federal employees applying under the VEOA eligibility who hold or have held a permanent General Schedule position in the previous year must have served at least 52 weeks (one year) at the next lower grade level from the position/grade level(s) to which they are applying.

Click the following link to view the occupational questionnaire: https://apply.usastaffing.gov/ViewQuestionnaire/12609289"
780801200,2024-12-08,Data Scientist,https://www.usajobs.gov/job/780801200,INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,DP 4,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,None,No,Secret,No,101121,156323,"Qualifications
Your resume must also demonstrate at least one year of Specialized experience at or equivalent to the (GS-11/12, DP-03) grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following:
Providing technical direction to contractors and other organizations on the development and integration of the software capabilities. Incumbent will serve as the government expert on system interface and software architecture.
Using and troubleshooting of simulators, test tools, software toolchains, and software version control systems.
Generating and providing input to documentation associated with program organization, product development, system requirements, and technical reports.


Additional qualification information can be found from the following Office of Personnel Management website:
Electrical Engineering Series 0850 (opm.gov)
Computer Engineering Series 0854 (opm.gov)
Electronics Engineering Series 0855 (opm.gov)
Computer Science Series 1550 (opm.gov)

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
797414800,2024-12-08,Data Scientist,https://www.usajobs.gov/job/797414800,Supervisory Clinical Laboratory Scientist,Department of Health and Human Services,GS 11,No,No,Not required,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,None,Yes,Other,No,104961,136446,"Qualifications
To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week.

Individual Occupational Requirements:These standards describe the minimum qualification requirements (for example, educational, medical, age, experience, etc.) for each occupational series. Individual Occupational Requirements for basic education, license, experience, and other qualifications for the Clinical Laboratory Scientist occupational series and are listed below as Basic Requirements. Specialized experience and certification requirements are also listed below.

BASIC REQUIREMENT(S):

EDUCATION:
A. A Bachelor's or graduate/higher level degree from a regionally accredited college/university including courses in biological science, chemistry and mathematics, AND successful completion of a Medical Laboratory Scientist/Clinical Laboratory Scientist program accredited by the National Accrediting Agency for Clinical Laboratory Sciences (NAACLS) or an accrediting body recognized by the U.S. Department of Educationat the time the degree was obtained.
OR
B. A FULL 4-YEAR COURSE OF STUDY that included 12 months in a college or hospital-based medical technology program or medical technology school approved by a recognized accrediting organization. The professional medical technology curriculum may have consisted of a 1-year post- bachelor's certificate program or the last 1 or 2 years of a 4-year program of study culminating in a bachelor's in medical technology.
OR
C. A Bachelor's or graduate/higher level degree from an accredited college/university, including 16 semester hours (24 quarter hours) of biological science (with one semester in microbiology), 16 semester hours (24 quarter hours) of chemistry (with one semester in organic or biochemistry), one semester (one quarter) of mathematics, AND five years of full time acceptable clinical laboratory experience in Blood Banking, Chemistry, Hematology, microbiology, Immunology and Urinalysis/Body Fluids. This combination of education and experience must have provided knowledge of the theories, principles, and practices of medical technology equivalent to that provided by the full 4-year course of study described in A or B above. All science and mathematics courses must have been acceptable for credit toward meeting the requirements for a science major at an accredited college or university. Acceptable experience is responsible professional or technician experience in a hospital laboratory, health agency, industrial medical laboratory, or pharmaceutical house; or teaching, test development, or medical research program experience that provided an understanding of the methods and techniques applied in performing professional clinical laboratory work. Certification/licensure as a medical technologist (generalist) obtained through written examination by a nationally recognized credentialing agency or State licensing body is a good indication that the quality of experience is acceptable.
For positions GS-7 through GS-15 (or equivalent), experience or graduate education must have been in
(1) the general field of medical technology.
(2) one of the disciplines or specialized areas of medical technology; or
(3) a field directly related and applicable to medical technology or the position to be filled.

MINIMUM QUALIFICATIONS For Grade GS-11
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the grade GS-09, which is the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks such as: work experience in or work experience demonstrating ability to plan and carry out a duties related to maintaining a medical laboratory sufficient to oversee and perform the full range of duties involved in planning and implementing the clinical laboratory testing program; diagnostic and testing equipment sufficient to establish and maintain a preventive maintenance program; and the accreditation standards such as Clinical Laboratory Improvement Amendments and Accreditation Association for Ambulatory Health Care as they pertain to the laboratory services.OR
Submit a copy of unofficial transcripts to show completed a Ph.D. or equivalent doctoral degree or 3 full years of progressively higher-level graduate education leading to such a degree or LL.M., if related. OR
Demonstrate meeting qualifications for this grade level by indicating on resume and submitting a copy of unofficial transcripts to show a combination of specialized experience and graduate level education that meets 100% of the qualification requirements for this position. Combinations of successfully completed graduate level education and specialized experience may be used to meet total experience requirement.
SELECTIVE PLACEMENT FACTOR: Certification as Medical Laboratory Scientist (MLS) or Medical Technologist (MT) by American Society of Clinical Pathology (ASCP), American Medical Technologists (AMT), or equivalent; or Certification by National Credentialing Agency for Laboratory Personnel's (NCA) certification Medical Technologist (MT), Clinical Laboratory Specialist (CLS) certification or a valid license from a state that requires license.

Specialized Experienceis experience that has equipped the applicant with the particular knowledge, skills, and abilities/competencies to perform successfully the duties of the position and is typically in or related to the work of the position to be filled.

Selective Placement Factoris a competency/KSAs or special qualification without which a candidate could not perform the duties of a position in a satisfactory manner. Selective factors are applied in addition to minimum qualifications. Applicants who do not meet a selective factor are ineligible for further consideration.

Time In Grade.Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP).

You must meet all qualification requirements within 30 days of the cut-off date or the closing date of the announcement.The first cutoff date is 10 days after the opening date. If necessary, additional cutoff dates will be established until the position is filled. Once the position is filled, the job announcement closes."
