Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Qualifications,Keyword,Reduced_Qualifications
757695300,2024-12-08,https://www.usajobs.gov/job/757695300,DST Data Engineer,Central Intelligence Agency,GS 8 - 15,No,No,<= 25%,Yes,Permanent,Full-time,Excepted,None,No,Sensitive Compartmented Information,Yes,72030,170800,"Qualifications
Minimum Qualifications
Strong critical thinking and problem-solving skills
Experience Programming in Linux and/or Windows OS environments
Experience with Software Development using computer programing languages like Javascript and/or Python.
Ability to work independently and in groups within a team environment
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Without previous work experience, a 3.0 GPA on a 4-point scale is strongly desired
Experience in one or more of the following areas:
Data analytics
Econometrics, mathematical modeling, or geospatial modeling
Gaming and modeling
Internet/web technology
Mathematical analysis
Network security and engineering
Signal processing and analysis
Social network analysis
Statistical operations research
Survey research, design, and analysis
Telecommunications networks/voice data communications
Self-starter attitude with initiative
Creativity
Strong interpersonal and communications skills
Strong analytic and research skills
Demonstrated experience working with Agile software development. Desired familiarity collaborating with technical writers and technical program policy representatives.
Experience with database and search technologies.
Experience with software development technologies or code version management software.
Experience analyzing large streaming datasets","Data Analyst, Data Engineer, Data Scientist",
757698900,2024-12-08,https://www.usajobs.gov/job/757698900,DST Data Scientist (Collection and Exploitation),Central Intelligence Agency,GS 8 - 15,No,No,<= 25%,Yes,Permanent,Full-time,Excepted,None,No,Sensitive Compartmented Information,Yes,68405,181216,"Qualifications
Minimum Qualifications
Experience in a science, technology, engineering or mathematics (STEM) related field, such as:
Computational Social Science
Computer Science
Data Analytics
Economics
Engineering
Geospatial Analysis
Mathematics
Operations Research
Quantitative Finance
Statistics
Experience with real world data through thesis research, internships, or work experience
Creativity
Initiative
Integrity
Leadership abilities
Problem solving skills
Ability to work in a diverse team environment
Electrical Engineering
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Advanced degree in a data science equivalent field or sub-field
Without previous work experience, a 3.0 GPA on a 4-point scale is strongly desired.
Experience working with data rich problems through research or programs
Experience with computer programming or user experience/user interface
Ability to work across, and help guide, diverse teams including leveraging best commercial and industrial capability.
Ability to successfully complete projects with large or incomplete data and provide solutions","Data Analyst, Data Engineer, Data Scientist",
759328900,2024-12-08,https://www.usajobs.gov/job/759328900,Data Lifecycle Specialist,Central Intelligence Agency,GS 9 - 13,No,No,<= 25%,Yes,Permanent,Full-time,Excepted,None,No,Sensitive Compartmented Information,Yes,72965,153354,"Qualifications
Minimum Qualifications
Excellent presentation skills, especially as it relates to briefing technical and non-technical audiences
Ability to work independently and in a team environment
Interpersonal skills
Ability to meet the minimum requirements for joining CIA, including U.S. citizenship and a background investigation
Desired Qualifications
Work experience related to information and data management","Data Analyst, Data Engineer, Data Scientist",
778678800,2024-12-08,https://www.usajobs.gov/job/778678800,Mathematical Statistician or Statistician (Data Scientist) - Direct Hire -12 Month Register- AMENDED,Department of the Treasury,GS 11 - 14,No,Yes,<= 25%,No,Permanent,Full-time,Competitive,"14 - Grade 14 is the full working level. For Career Ladder grades GS-11, GS-12 and GS-13, Grade 13 is the full working level.",No,Not Required,No,72553,191900,"Qualifications
Federal experience is not required. The experience may have been gained in the public sector, private sector orVolunteer Service.One year of experience refers to full-time work; part-timework is considered on a prorated basis. To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.

You must meet the following requirements by the closing date of this announcement AND/OR time of referral:

BASIC REQUIREMENTSGS-1530 STATISTICIAN (Data Scientist): You must have a degree that included 15 semester hours in statistics (or in mathematics and statistics, provided at least 6 semester hours were in statistics), and 9 additional semester hours in one or more of the following: physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc. Credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e.g., courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing.

OR
Combination of education and experience-- courses as shown above, plus appropriate experience or additional education. The experience should have included a full range of professional statistical work such as (a) sampling, (b) collecting, computing, and analyzing statistical data, and (c) applying statistical techniques such as measurement of central tendency, dispersion, skewness, sampling error, simple and multiple correlation, analysis of variance, and tests of significance.

BASIC REQUIREMENTSGS-1529 MATHEMATICAL STATISTICIAN (Data Scientist):You must have a degree that included courses in mathematics and statistics totaling at least 24 semester hours. This course work must have included a minimum of 12 semester hours of mathematics and 6 semester hours were in statistics. Courses acceptable toward meeting the mathematics course requirement must have included at least four of the following: differential calculus, integral calculus, advanced calculus, theory of equations, vector analysis, advanced algebra, linear algebra, mathematical logic, differential equations, or any other advanced course in mathematics for which one of these was a prerequisite. Courses in mathematical statistics or probability theory with a prerequisite of elementary calculus or more advanced courses will be accepted toward meeting the mathematics requirements, with the provision that the same course cannot be counted toward both the mathematics and the statistics requirement.

OR
Combination of education and experience-- includes at least 24 semester hours of mathematics and statistics, including at least 12 hours in mathematics and 6 hours in statistics, as described above; and Experience that showed evidence of statistical work such as (a) sampling, (b) collecting, computing, and analyzing statistical data, and (c) applying known statistical techniques to data such as measurement of central tendency, dispersion, skewness, sampling error, simple and multiple correlation, analysis of variance, and tests of significance.

In addition to meeting the basic requirement above, to qualify for this position you must also meet the grades specialized experience.

SPECIALIZED EXPERIENCE GS-1529/1530-11:To be eligible for this position at this grade level, you must meet the following requirements. In addition to the basic requirements, you must have one (1) year of specialized experience at a level of difficulty and responsibility equivalent to the GS-09 grade level in the Federal service. Examples of specialized experience for this position may include:
Experience using data mining process models (such as CRISP-DM, SEMMA, etc.,) to design and execute data science project.
Experience preparing and analyzing structured and unstructured datasets to explorations and evaluating data science centric models.
Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph theory, link analysis and optimization models; complex adaptive systems; and/or deep learning neural networks that are part of the exploration.
Experience coding in various programming languages (such as R, Python, SQL, or JAVA) to conduct various phases of data science projects.
Experience creating and querying different datastores and architectures (such as Sybase, Oracle, and open-source databases) to work with various types of data as part of the data science project.
Experience using tools for data visualization (graphs, tables, charts, etc.,) and end-user business intelligence.
OR
EDUCATION:
You may substitute education for specialized experience specialized experience as follows: Three (3) full academic years of progressively higher-level graduate education in Mathematics, statistics, or related fields.
OR
Ph. D. or equivalent doctoral degree Mathematics, statistics, or related field of study from an accredited college or university.
OR
Combination of education and experience:A combination of qualifying graduate education and experience equivalent to the amount required.

SPECIALIZED EXPERIENCE GS-1529/1530-12: To be eligible for this position at this grade level, you must meet the following requirements. In addition to the basic requirements, you must have one (1) year of specialized experience at a level of difficulty and responsibility equivalent to the GS-11 grade level in the Federal service. Examples of specialized experience for this position may include:
Experience applying knowledge of statistical theories, principles, concepts and practices that relate to experimental design, data analysis, sampling, forecasting, quality control, and operations research to understand, model and improve program operations.
Experience using data mining process models (such as CRISP-DM, SEMMA, etc.,) to design and execute data science project.
Experience preparing and analyzing structured and unstructured datasets to explorations and evaluating data science centric models.
Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph theory, link analysis and optimization models; complex adaptive systems; and/or deep learning neural networks that are part of the exploration.
Experience coding in various programming languages (such as R, Python, SQL, or JAVA) to conduct various phases of data science projects.
Experience creating and querying different datastores and architectures (such as Sybase, Oracle, and open-source databases) to work with various types of data as part of the data science project.
Experience using tools for data visualization (graphs, tables, charts, etc.,) and end-user business intelligence.
Specialized Experience for GS-13 and GS-14 follows under Education Section.","Data Analyst, Data Engineer, Data Scientist",
780005100,2024-12-08,https://www.usajobs.gov/job/780005100,IT SPECIALIST (DATAMGT/SYSADMIN),Department of the Navy,GS 9,No,Yes,<= 25%,No,Permanent,Full-time,Competitive,9,No,Secret,No,66732,86750,"Qualifications
One year of information technology related experience in the federal service or private or public sector demonstrating the following four competencies, as defined:

1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail. IT-related experience demonstrating this competency include: verifying hardware and software and equipment are in accordance with DOD policy and directives

2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. IT-related experience demonstrating this competency include: Maintaining customer hardware and resolving software problems in response to customer reported incidents.

3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. IT-related experience demonstrating this competency include: Working with personnel to plan, coordinate and resolve issues by influencing people to work towards mutual goals and have basic cooperative attitudes.

4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. IT-related experience demonstrating this competency include: Troubleshooting, diagnosing hardware/software interoperability problems by repairing and applying software patches.

In addition to my experience demonstrating the four competencies above, I have one year of specialized experience equivalent to the next lower grade level (GS-07) or pay band in the federal service or equivalent experience in the private or public sector Installing and troubleshooting customer hardware and software to ensure security is maintained through Information Assurance such as network access and end points.

Additional qualification information can be found from the following Office of Personnel Management website: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.","Data Analyst, Data Engineer, Data Scientist",
780196200,2024-12-08,https://www.usajobs.gov/job/780196200,Subject Matter Expertise Support (Data Security) (1 YEAR) (REIMBURSABLE DETAIL),Department of Justice,GS 13 - 14,No,Yes,Not Required,Yes,Permanent,Full-time,Competitive,None,No,Sensitive Compartmented Information,Yes,117962,181216,"Qualifications
Qualifications and Requirements:
Experience collaborating with other federal agencies and external stakeholders.
Experience managing special projects or initiative to strengthen existing programs.
Strong oral and written communication skills.
Strong organizational and interpersonal skills.
The ability to set, manage, and balance diverse, evolving, and challenging projects and priorities.
Experience applying national security risk analysis principles, concepts, and methods and expertise in business, market, and industry-centric environment sufficient to develop long-range plans that anticipate, identify, evaluate, mitigate, and minimize risks associated with vulnerabilities in business models, market conditions, and industry structures.
Preferred expertise in data security operations, including information security, network security, network security engineering, digital forensics, incident response and remediation, vulnerability management, data analytics, and other operational activities related to cybersecurity.
A commitment to the highest ethical and professional standard
The applicant must have a current performance appraisal of at least fully successful or excellent.","Data Analyst, Data Engineer, Data Scientist",
780218800,2024-12-08,https://www.usajobs.gov/job/780218800,INTERDISCIPLINARY (Ops Research Analyst/Mathematician/Statistician/Computer Sci/Data Sci),Department of the Army,GS 7 - 11,No,Yes,<= 25%,Yes,Permanent,Full-time,Competitive,11,No,Not Required,No,49025,105289,"Qualifications
Who May Apply: US Citizens

In order to qualify, you must meet the education and experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document.

This position has Basic ""Minimum Education"" requirements for Interdisciplinary Series:

Basic Requirement for Operations Research 1515:
Degree: Bachelor's degree (or higher degree) in operations research; or a degree with at least 24 semester hours in a combination of operations research, mathematics, probability, statistics, mathematical logic, science, or subject-matter courses requiring substantial competence in college-level mathematics or statistics. At least 3 of the 24 semester hours must have been in calculus. Please refer to the link below to determine if you meet the basic education requirements for this position: Operations Research Series 1515 (opm.gov).

Basic Requirement for Mathematics 1520:
A. Degree: Bachelor's degree (or higher degree) in mathematics; or a degree with the equivalent of a major that included at least 24 semester hours in mathematics. The total course work must have included differential and integral calculus and, in addition, four advanced mathematics courses requiring calculus or equivalent mathematics courses as a prerequisite. Please refer to the link below to determine if you meet the basic education requirements for this position: Mathematics Series 1520 (opm.gov).

Basic Requirement for Mathematical Statistician 1529:
A. Degree: Bachelor's degree (or higher degree) that included 24 semester hours of mathematics and statistics, of which at least 12 semester hours were in mathematics and 6 semester hours were in statistics. Please refer to the link below to determine if you meet the basic education requirements for this position: Mathematical Statistics Series 1529 (opm.gov).

Basic Requirement for Statistician 1530:
A. Degree: Bachelor's degree (or higher degree) that included 15 semester hours in statistics (or in mathematics and statistics, provided at least 6 semester hours were in statistics), and 9 additional semester hours in one or more of the following: physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc. Please refer to the link below to determine if you meet the basic education requirements for this position: Statistics Series 1530 (opm.gov).

Basic Requirement for Computer Science 1550:
A. Degree: Bachelor's degree (or higher degree) in computer science or bachelor's degree (or higher degree) with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. Please refer to the link below to determine if you meet the basic education requirements for this position: Computer Science Series 1550 (opm.gov).

Basic Requirement for Data Scientist 1560
Degree: Bachelor's degree (or higher degree) in Mathematics, statistics, computer science, data science or field directly related to the position. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position. OR B. Combination of education and experience: Courses equivalent to a major field of study (30 semester hours) as shown in paragraph A above, plus additional education or appropriate experience. Please refer to the link below to determine if you meet the basic education requirements for this position: Data Science Series 1560 (opm.gov)
","Data Analyst, Data Engineer, Data Scientist",
791767700,2024-12-08,https://www.usajobs.gov/job/791767700,Logistics Data Analyst (12 Month Register),Department of Defense,GS 9,No,Yes,<= 25%,No,Permanent - Multiple Appointment Types,Full-time,Competitive,12,No,Other,No,59966,77955,"Qualifications
To qualify for a Logistics Data Analyst, your resume and supporting documentation must support:

A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position and is directly in or related to this position. To qualify at the GS-09 level, applicants must possess one year of specialized experience equivalent to the GS-07 level or equivalent under other pay systems in the Federal service, military, or private sector. Applicants must meet eligibility requirements including time-in-grade (General Schedule (GS) positions only), time-after-competitive appointment, minimum qualifications, and any other regulatory requirements by the cut-off/closing date of the announcement. Creditable specialized experience includes:
Experience planning and implementing, resolving project conflicts, coordinating the work of others as necessary and interpreting policy in terms of established policy objectives.
Experience in researching and analyzing and reporting on all issues related to logistics and life cycle management.
Experience as a technical expert for the purpose of analyzing and developing innovative solutions for the implementation of logistics data support requirements in existing and future data systems.
B. Education Substitution: Such education must demonstrate the knowledge, skills, and abilities necessary to do the work. Education must be from a college or university accredited by an organization approved by the U.S. Department of Education. Seehttp://ope.ed.gov/accreditation/Search.aspx. If using education to meet basic qualifications, YOU MUST SUBMIT A TRANSCRIPT as supplemental documentation. To qualify based on education in lieu of specialized experience, you must possess a Master's or equivalent graduate degree or 2 full years of progressively higher-level graduate education leading to such a degree or LL.B. or J.D., if related.

C. Combination: Combinations of successfully completed post-high school education and experience may be used to meet total qualification requirements for grade levels GS-09 and may be computed by first determining the applicant's total qualifying experience as a percentage of the experience required for the grade level; then determining the applicant's education as a percentage of the education required for the grade level; and then adding the two percentages. The total percentages must equal at least 100 percent to qualify an applicant for that grade level. Only graduate education in excess of the amount required for the next lower grade level may be used to qualify applicants for positions at grade GS-09.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.","Data Analyst, Data Engineer, Data Scientist",
805771100,2024-12-08,https://www.usajobs.gov/job/805771100,INFORMATION TECHNOLOGY SPECIALIST (APPSW/DATAMGT),Department of the Navy,NH 3,No,Yes,<= 25%,No,Permanent,Full-time,Competitive,None,No,Secret,No,99200,153354,"Qualifications
Your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: experience in applying Information Technology principles and practices; experience in Data Mangement and Systems Analysis. Your experience must reflect skill in the following areas: attention to detail, customer service, oral communication, and problem solving.

Additional qualification information can be found from the following Office of Personnel Management website: Your experience must reflect skill in the following areas: attention to detail, customer service, oral communication, and problem solving.
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.","Data Analyst, Data Engineer, Data Scientist",
809439500,2024-12-08,https://www.usajobs.gov/job/809439500,IT SPECIALIST (DATAMGT),Department of the Navy,GS 12,No,Yes,<= 25%,No,Permanent,Full-time,Competitive,None,No,Secret,No,99044,128752,"Qualifications
Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: 1) Applying principles, procedures, and tools of data management, such as, data modeling techniques, data backups, data recovery, data dictionaries, data mining, data disposal to develop and design of software systems; 2) Evaluating new universe design and report development approaches used to formulate requirements specifications; 3) Establishing test criteria to ensure the most efficient use of the data modeling structure design; and 4) Designing physical structure of required databases while considering factors, such as, access methods, frequency of access, storage media, server volatility, and operating system sensitivity.

In addition to the specialized experience listed above, your resume must demonstrate one year of information technology related experience in the federal service or private or public sector demonstrating the following four competencies, as defined:
1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.
3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.

Additional qualification information can be found from the following Office of Personnel Management web site: Information Technology (IT) Management Series 2210 (Alternative A) (opm.gov)

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.","Data Analyst, Data Engineer, Data Scientist",
